timestamp,metric,dimension,value
2025-05-16T20:16:10.019021,followers_count,total,2172
2025-05-16T20:16:16.374243,followers_count,total,2172
2025-05-16T20:16:24.043605,followers_count,total,2172
2025-05-16T20:16:28.814671,followers_count,total,2172
2025-05-16T20:16:33.819918,followers_count,total,2172
2025-05-16T20:16:39.088504,followers_count,total,2172
2025-05-16T20:16:44.350993,followers_count,total,2172
2025-05-16T20:16:49.477283,followers_count,total,2172
2025-05-16T20:16:54.347553,followers_count,total,2172
2025-05-16T20:16:59.300912,followers_count,total,2172
2025-05-16T20:17:04.503224,followers_count,total,2172
2025-05-16T20:17:10.179304,followers_count,total,2172
2025-05-16T20:17:15.123270,followers_count,total,2172
2025-05-16T20:17:19.911375,followers_count,total,2172
2025-05-16T20:17:24.776866,followers_count,total,2172
2025-05-16T20:17:31.141748,followers_count,total,2172
2025-05-16T20:17:36.095261,followers_count,total,2172
2025-05-16T20:17:45.751457,followers_count,total,2172
2025-05-16T20:17:50.411119,followers_count,total,2172
2025-05-16T20:17:55.331620,followers_count,total,2172
2025-05-16T20:18:00.596485,followers_count,total,2172
2025-05-16T20:18:06.095460,followers_count,total,2172
2025-05-16T20:18:11.241808,followers_count,total,2172
2025-05-16T20:18:16.521445,followers_count,total,2172
2025-05-16T20:18:21.291489,followers_count,total,2172
2025-05-16T20:18:26.525086,followers_count,total,2172
2025-05-16T20:18:32.067887,followers_count,total,2172
2025-05-16T20:18:38.505716,followers_count,total,2172
2025-05-16T20:18:46.952671,followers_count,total,2172
2025-05-16T20:18:53.916271,followers_count,total,2172
2025-05-16T20:19:00.481910,followers_count,total,2172
2025-05-16T20:19:05.693909,followers_count,total,2172
2025-05-16T20:19:10.861404,followers_count,total,2172
2025-05-16T20:19:16.081174,followers_count,total,2172
2025-05-16T20:19:21.207656,followers_count,total,2172
2025-05-16T20:19:28.051575,followers_count,total,2172
2025-05-16T20:19:33.001848,followers_count,total,2172
2025-05-16T20:19:38.177461,followers_count,total,2172
2025-05-16T20:19:44.045042,followers_count,total,2172
2025-05-16T20:19:49.227493,followers_count,total,2172
2025-05-16T20:19:54.151351,followers_count,total,2172
2025-05-16T20:19:59.351201,followers_count,total,2172
2025-05-16T20:20:04.755288,followers_count,total,2172
2025-05-16T20:20:09.895468,followers_count,total,2172
2025-05-16T20:20:16.881628,followers_count,total,2172
2025-05-16T20:20:21.912479,followers_count,total,2172
2025-05-16T20:20:27.231872,followers_count,total,2172
2025-05-16T20:20:32.291586,followers_count,total,2172
2025-05-16T20:20:38.351880,followers_count,total,2172
2025-05-16T20:20:43.121936,followers_count,total,2172
2025-05-16T20:20:48.143804,followers_count,total,2172
2025-05-16T20:20:53.298128,followers_count,total,2172
2025-05-16T20:20:58.357722,followers_count,total,2172
2025-05-16T20:21:05.255294,followers_count,total,2172
2025-05-16T20:21:10.382021,followers_count,total,2172
2025-05-16T20:21:15.291619,followers_count,total,2172
2025-05-16T20:21:20.611392,followers_count,total,2172
2025-05-16T20:21:26.011801,followers_count,total,2172
2025-05-16T20:21:30.983568,followers_count,total,2172
2025-05-16T20:21:35.831638,followers_count,total,2172
2025-05-16T20:21:40.882111,followers_count,total,2172
2025-05-16T20:21:46.581427,followers_count,total,2172
2025-05-16T20:21:51.551818,followers_count,total,2172
2025-05-16T20:21:56.384718,followers_count,total,2172
2025-05-16T20:22:01.421647,followers_count,total,2172
2025-05-16T20:22:06.454668,followers_count,total,2172
2025-05-16T20:22:11.593246,followers_count,total,2172
2025-05-16T20:22:16.528100,followers_count,total,2172
2025-05-16T20:22:21.765841,followers_count,total,2172
2025-05-16T20:22:26.631954,followers_count,total,2172
2025-05-16T20:22:32.131951,followers_count,total,2172
2025-05-16T20:22:37.102100,followers_count,total,2172
2025-05-16T20:22:42.201796,followers_count,total,2172
2025-05-16T20:22:47.431689,followers_count,total,2172
2025-05-16T20:22:52.531678,followers_count,total,2172
2025-05-16T20:22:58.256979,followers_count,total,2172
2025-05-16T20:23:04.441845,followers_count,total,2172
2025-05-16T20:23:09.512105,followers_count,total,2172
2025-05-16T20:23:14.591756,followers_count,total,2172
2025-05-16T20:23:19.882003,followers_count,total,2172
2025-05-16T20:23:25.132190,followers_count,total,2172
2025-05-16T20:23:30.464593,followers_count,total,2172
2025-05-16T20:23:35.652253,followers_count,total,2172
2025-05-16T20:23:40.581831,followers_count,total,2172
2025-05-16T20:23:45.723963,followers_count,total,2172
2025-05-16T20:23:50.922015,followers_count,total,2172
2025-05-16T20:23:55.981676,followers_count,total,2172
2025-05-16T20:24:01.611766,followers_count,total,2172
2025-05-16T20:24:06.871688,followers_count,total,2172
2025-05-16T20:24:12.001862,followers_count,total,2172
2025-05-16T20:24:17.001708,followers_count,total,2172
2025-05-16T20:24:22.532017,followers_count,total,2172
2025-05-16T20:24:27.632134,followers_count,total,2172
2025-05-16T20:24:32.801797,followers_count,total,2172
2025-05-16T20:24:37.701965,followers_count,total,2172
2025-05-16T20:24:42.931862,followers_count,total,2172
2025-05-16T20:24:48.188108,followers_count,total,2172
2025-05-16T20:24:53.645617,followers_count,total,2172
2025-05-16T20:24:58.825350,followers_count,total,2172
2025-05-16T20:25:03.981593,followers_count,total,2172
2025-05-16T20:25:09.471938,followers_count,total,2172
2025-05-16T20:25:14.878375,followers_count,total,2172
2025-05-16T20:25:20.585695,followers_count,total,2172
2025-05-16T20:25:26.162653,followers_count,total,2172
2025-05-16T20:25:31.501470,followers_count,total,2172
2025-05-16T20:25:37.674666,followers_count,total,2172
